date,open,high,low,close,adj close,volume,dividends,stock splits,capital gains
2022-04-06 00:00:00-04:00,25.0,25.0,25.0,25.0,21.78368377685547,0,0.0,0.0,0.0
2022-04-07 00:00:00-04:00,23.93000030517578,24.087900161743164,23.825000762939453,24.087900161743164,20.988927841186523,201729,0.0,0.0,0.0
2022-04-08 00:00:00-04:00,24.110000610351562,24.1299991607666,23.883699417114258,23.883699417114258,20.810998916625977,3218,0.0,0.0,0.0
2022-04-11 00:00:00-04:00,23.809999465942383,23.899999618530273,23.68950080871582,23.68950080871582,20.64178466796875,5026,0.0,0.0,0.0
2022-04-12 00:00:00-04:00,23.65999984741211,23.65999984741211,23.63680076599121,23.63680076599121,20.595861434936523,3025,0.0,0.0,0.0
2022-04-13 00:00:00-04:00,24.231599807739258,24.231599807739258,24.231599807739258,24.231599807739258,21.114139556884766,5,0.0,0.0,0.0
2022-04-14 00:00:00-04:00,24.14900016784668,24.219999313354492,23.947399139404297,23.947399139404297,20.86650276184082,1172,0.0,0.0,0.0
2022-04-18 00:00:00-04:00,23.645000457763672,23.645000457763672,23.645000457763672,23.645000457763672,20.603008270263672,105,0.0,0.0,0.0
2022-04-19 00:00:00-04:00,24.291400909423828,24.291400909423828,24.291400909423828,24.291400909423828,21.166248321533203,1,0.0,0.0,0.0
2022-04-20 00:00:00-04:00,23.661500930786133,23.661500930786133,23.661500930786133,23.661500930786133,20.617385864257812,2,0.0,0.0,0.0
2022-04-21 00:00:00-04:00,22.90760040283203,22.90760040283203,22.90760040283203,22.90760040283203,19.96047592163086,10,0.0,0.0,0.0
2022-04-22 00:00:00-04:00,22.360300064086914,22.360300064086914,22.360300064086914,22.360300064086914,19.48358917236328,1,0.0,0.0,0.0
2022-04-25 00:00:00-04:00,22.139999389648438,22.610000610351562,22.139999389648438,22.610000610351562,19.7011661529541,1373,0.0,0.0,0.0
2022-04-26 00:00:00-04:00,21.989999771118164,21.989999771118164,21.739999771118164,21.74340057373047,18.946054458618164,1630,0.0,0.0,0.0
2022-04-27 00:00:00-04:00,21.736600875854492,21.736600875854492,21.736600875854492,21.736600875854492,18.94013023376465,3,0.0,0.0,0.0
2022-04-28 00:00:00-04:00,21.659000396728516,22.247699737548828,21.659000396728516,22.247699737548828,19.385473251342773,1518,0.0,0.0,0.0
2022-04-29 00:00:00-04:00,21.729400634765625,21.729400634765625,21.729400634765625,21.729400634765625,18.933856964111328,3,0.0,0.0,0.0
2022-05-02 00:00:00-04:00,22.0,22.198299407958984,21.790000915527344,22.198299407958984,19.342430114746094,700,0.0,0.0,0.0
