date,open,high,low,close,adj close,volume,dividends,stock splits
1973-02-21 00:00:00-05:00,9.0,9.0,9.0,9.0,5.723362445831299,6400,0.0,0.0
1973-02-22 00:00:00-05:00,9.25,9.25,9.25,9.25,5.882345199584961,4800,0.0,0.0
1973-02-23 00:00:00-05:00,8.875,8.875,8.875,8.875,5.643870830535889,4400,0.0,0.0
1973-02-26 00:00:00-05:00,8.5,8.5,8.5,8.5,5.405397891998291,6600,0.0,0.0
1973-02-27 00:00:00-05:00,8.25,8.25,8.25,8.25,5.246415615081787,1400,0.0,0.0
1973-02-28 00:00:00-05:00,8.25,8.25,8.25,8.25,5.246415615081787,1800,0.0,0.0
1973-03-01 00:00:00-05:00,8.125,8.125,8.125,8.125,5.166924953460693,1200,0.0,0.0
1973-03-02 00:00:00-05:00,8.125,8.125,8.125,8.125,5.166924953460693,7400,0.0,0.0
1973-03-05 00:00:00-05:00,8.125,8.125,8.125,8.125,5.166924953460693,4800,0.0,0.0
1973-03-06 00:00:00-05:00,8.0625,8.0625,8.0625,8.0625,5.12717866897583,3800,0.0,0.0
1973-03-07 00:00:00-05:00,8.5,8.5,8.5,8.5,5.405397891998291,3400,0.0,0.0
1973-03-08 00:00:00-05:00,8.5,8.5,8.5,8.5,5.405397891998291,1800,0.0,0.0
1973-03-09 00:00:00-05:00,8.375,8.375,8.375,8.375,5.325906753540039,1400,0.0,0.0
1973-03-12 00:00:00-05:00,8.5,8.5,8.5,8.5,5.405397891998291,1600,0.0,0.0
1973-03-13 00:00:00-05:00,8.5,8.5,8.5,8.5,5.405397891998291,400,0.0,0.0
1973-03-14 00:00:00-05:00,8.625,8.625,8.625,8.625,5.484888553619385,800,0.0,0.0
1973-03-15 00:00:00-05:00,8.25,8.25,8.25,8.25,5.246415615081787,2600,0.0,0.0
1973-03-16 00:00:00-05:00,7.625,7.625,7.625,7.625,4.848958492279053,7000,0.0,0.0
1973-03-19 00:00:00-05:00,7.875,7.875,7.875,7.875,5.007941246032715,1400,0.0,0.0
