date,open,high,low,close,adj_close,volume,dividends,stock_splits
2021-06-24,380.0,399.0,370.0,376.1499938964844,357.1667785644531,27035744,0.0,0.0
2021-06-25,378.3999938964844,406.0,373.7000122070313,389.0,369.3683471679688,10269222,0.0,0.0
2021-06-28,387.7999877929688,393.9500122070313,375.25,378.1499938964844,359.0658569335937,3087635,0.0,0.0
2021-06-29,378.1499938964844,382.9500122070313,362.2000122070313,364.2999877929688,345.91485595703125,2125937,0.0,0.0
2021-06-30,368.0,377.4500122070313,361.1000061035156,369.6000061035156,350.9473876953125,1886702,0.0,0.0
2021-07-01,370.1000061035156,376.5499877929688,369.5,370.6499938964844,351.9443664550781,943360,0.0,0.0
2021-07-02,372.0,376.8999938964844,368.1499938964844,371.5,352.7514953613281,961818,0.0,0.0
2021-07-05,374.6499938964844,392.8999938964844,374.0499877929688,382.2999877929688,363.0064697265625,2291282,0.0,0.0
2021-07-06,384.0,408.75,384.0,390.8500061035156,371.1249694824219,6408745,0.0,0.0
2021-07-07,392.0,417.0,392.0,412.8999938964844,392.0621337890625,5818253,0.0,0.0
2021-07-08,417.6499938964844,424.3999938964844,402.2000122070313,416.6499938964844,395.6228942871094,8518828,0.0,0.0
2021-07-09,420.0,428.3999938964844,413.5,418.6499938964844,397.5219421386719,4367357,0.0,0.0
2021-07-12,427.0,428.5,413.7000122070313,419.7999877929688,398.6139221191406,1994569,0.0,0.0
2021-07-13,423.6000061035156,425.7000122070313,416.0,418.0,396.90478515625,1193228,0.0,0.0
2021-07-14,416.1000061035156,419.5499877929688,412.6499938964844,413.5499877929688,392.6793518066406,985470,0.0,0.0
2021-07-15,415.1000061035156,416.6000061035156,404.25,406.2000122070313,385.70025634765625,988576,0.0,0.0
2021-07-16,408.0,418.0,407.1000061035156,413.2999877929688,392.4419250488281,1120122,0.0,0.0
2021-07-19,414.8500061035156,435.2999877929688,413.0,430.2000122070313,408.4890441894531,3215214,0.0,0.0
2021-07-20,435.5,461.1499938964844,425.1000061035156,442.2999877929688,419.9784240722656,10403297,0.0,0.0
2021-07-22,449.5,457.7000122070313,439.1000061035156,445.0,422.5421752929688,2861222,0.0,0.0
2021-07-23,448.2999877929688,449.8500061035156,427.3999938964844,431.2999877929688,409.5335388183594,1766694,0.0,0.0
2021-07-26,429.9500122070313,433.8500061035156,423.0,427.8999938964844,406.30517578125,1356084,0.0,0.0
2021-07-27,426.5,438.3999938964844,424.25,428.8500061035156,407.2072448730469,1451770,0.0,0.0
2021-07-28,428.0,429.4500122070313,414.25,419.1000061035156,397.9491882324219,1145843,0.0,0.0
2021-07-29,420.75,446.2000122070313,416.25,436.6000061035156,414.5661010742188,2619010,0.0,0.0
2021-07-30,434.8999938964844,446.0,430.5499877929688,436.3999938964844,414.3761901855469,1633309,0.0,0.0
2021-08-02,438.75,442.5,427.0,429.0,407.34967041015625,1402611,0.0,0.0
2021-08-03,429.5,431.7999877929688,422.6000061035156,426.0499877929688,404.5485229492188,1398636,0.0,0.0
2021-08-04,430.2000122070313,435.0,423.0,424.6000061035156,403.1716918945313,1158467,0.0,0.0
2021-08-05,426.0,428.0,413.5,423.6000061035156,402.2221984863281,1356995,0.0,0.0
2021-08-06,425.2000122070313,429.8999938964844,420.1000061035156,421.1000061035156,399.8483276367188,734435,0.0,0.0
2021-08-09,425.0,428.9500122070313,418.1499938964844,422.0,400.7029418945313,1206755,0.0,0.0
2021-08-10,421.0,423.4500122070313,400.0499877929688,407.1499938964844,386.6023559570313,849161,0.0,0.0
2021-08-11,409.2000122070313,414.7999877929688,392.0,406.5,385.9851379394531,1175593,0.0,0.0
2021-08-12,408.5499877929688,419.7000122070313,405.9500122070313,417.2999877929688,396.2400817871094,790842,0.0,0.0
2021-08-13,420.0,421.5,411.7000122070313,414.9500122070313,394.0086975097656,590276,0.0,0.0
2021-08-16,414.0,427.3999938964844,406.2000122070313,415.3500061035156,394.3884887695313,1003609,0.0,0.0
2021-08-17,415.3500061035156,430.7999877929688,414.2999877929688,416.5,395.48046875,1256146,0.0,0.0
2021-08-18,418.0,419.0,407.0,411.8999938964844,391.1126403808594,553236,0.0,0.0
2021-08-20,406.8999938964844,409.5,385.5,391.7000122070313,371.9320373535156,1034752,0.0,0.0
2021-08-23,395.7999877929688,397.8999938964844,361.3500061035156,364.0,345.6300354003906,1391010,0.0,0.0
2021-08-24,366.1499938964844,386.7999877929688,366.1499938964844,384.75,365.3327941894531,911514,0.0,0.0
2021-08-25,386.7000122070313,402.0,386.25,390.0499877929688,370.3652648925781,814266,0.0,0.0
2021-08-26,390.6000061035156,394.3500061035156,381.1000061035156,384.8500061035156,365.42779541015625,357086,0.0,0.0
2021-08-27,384.8500061035156,391.4500122070313,381.2000122070313,386.5,366.9944458007813,377832,0.0,0.0
