date,open,high,low,close,adj close,volume,dividends,stock splits
2000-08-02 00:00:00+05:30,12.4975004196167,12.4975004196167,12.4975004196167,12.4975004196167,9.223331451416016,100,0.0,0.0
2000-08-03 00:00:00+05:30,11.850000381469727,12.0,10.800000190734863,11.547499656677246,8.522217750549316,33020,0.0,0.0
2000-08-04 00:00:00+05:30,11.649999618530273,11.649999618530273,10.899999618530273,11.199999809265137,8.26575756072998,25500,0.0,0.0
2000-08-07 00:00:00+05:30,11.050000190734863,11.050000190734863,10.800000190734863,10.807499885559082,7.9760870933532715,13320,0.0,0.0
2000-08-08 00:00:00+05:30,10.350000381469727,11.0,10.350000381469727,10.742500305175781,7.928117752075195,47520,0.0,0.0
2000-08-09 00:00:00+05:30,10.949999809265137,11.0,10.805000305175781,10.805000305175781,7.974242210388184,7000,0.0,0.0
2000-08-10 00:00:00+05:30,11.0,11.145000457763672,10.850000381469727,10.949999809265137,8.081253051757812,7900,0.0,0.0
2000-08-11 00:00:00+05:30,10.9975004196167,11.399999618530273,10.862500190734863,10.862500190734863,8.016680717468262,5700,0.0,0.0
2000-08-14 00:00:00+05:30,10.5,10.994999885559082,10.5,10.657500267028809,7.865385055541992,14800,0.0,0.0
2000-08-15 00:00:00+05:30,10.657500267028809,10.657500267028809,10.657500267028809,10.657500267028809,7.865385055541992,0,0.0,0.0
2000-08-16 00:00:00+05:30,11.050000190734863,11.050000190734863,10.71500015258789,11.0,8.118151664733887,14520,0.0,0.0
2000-08-17 00:00:00+05:30,10.657500267028809,10.797499656677246,10.65250015258789,10.72249984741211,7.913353443145752,3900,0.0,0.0
2000-08-18 00:00:00+05:30,10.524999618530273,10.899999618530273,10.524999618530273,10.757499694824219,7.939182758331299,5500,0.0,0.0
2000-08-21 00:00:00+05:30,10.774999618530273,11.0,10.699999809265137,10.699999809265137,7.896751403808594,9900,0.0,0.0
2000-08-22 00:00:00+05:30,10.800000190734863,10.800000190734863,10.5,10.5,7.749145984649658,19520,0.0,0.0
2000-08-23 00:00:00+05:30,10.550000190734863,11.0,10.550000190734863,10.925000190734863,8.06280517578125,7020,0.0,0.0
2000-08-24 00:00:00+05:30,11.149999618530273,11.149999618530273,10.649999618530273,10.71500015258789,7.9078192710876465,11000,0.0,0.0
2000-08-25 00:00:00+05:30,10.949999809265137,10.949999809265137,10.649999618530273,10.779999732971191,7.9557905197143555,10620,0.0,0.0
2000-08-28 00:00:00+05:30,10.899999618530273,10.9975004196167,10.649999618530273,10.807499885559082,7.9760870933532715,16800,0.0,0.0
2000-08-29 00:00:00+05:30,10.802499771118164,10.850000381469727,10.600000381469727,10.667499542236328,7.872763156890869,21440,0.0,0.0
2000-08-30 00:00:00+05:30,10.75,11.149999618530273,10.675000190734863,10.774999618530273,7.952098846435547,13520,0.0,0.0
2000-08-31 00:00:00+05:30,10.5,10.649999618530273,10.25,10.5024995803833,7.750993251800537,5200,0.0,0.0
2000-09-01 00:00:00+05:30,10.5024995803833,10.5024995803833,10.5024995803833,10.5024995803833,7.750993251800537,0,0.0,0.0
