date,open,high,low,close,adj_close,volume,dividends,stock_splits
2002-08-12,167.0500030517578,175.0,167.0500030517578,174.0,166.40036010742188,2000,0.0,0.0
2002-08-13,177.0,177.0,175.0,175.0,167.35670471191406,50,0.0,0.0
2002-08-14,175.0,179.0,170.0,173.0,165.4440460205078,800,0.0,0.0
2002-08-15,173.0,173.0,173.0,173.0,165.4440460205078,0,0.0,0.0
2002-08-16,174.0,175.0,169.89999389648438,169.89999389648438,162.4794158935547,2300,0.0,0.0
2002-08-19,169.0,170.0,165.25,170.0,162.57505798339844,600,0.0,0.0
2002-08-20,170.0,172.0,170.0,172.0,164.48773193359375,200,0.0,0.0
2002-08-21,170.0,178.0,170.0,174.10000610351562,166.49600219726562,700,0.0,0.0
2002-08-22,175.0,175.0,170.3000030517578,174.64999389648438,167.02194213867188,1800,0.0,0.0
2002-08-23,167.60000610351562,174.0,167.60000610351562,171.14999389648438,163.6748504638672,600,0.0,0.0
2002-08-26,174.0,174.0,174.0,174.0,166.40036010742188,100,0.0,0.0
2002-08-27,169.0,173.0,165.1999969482422,168.64999389648438,161.2840576171875,1900,0.0,0.0
2002-08-28,169.9499969482422,170.0,164.10000610351562,170.0,162.57505798339844,400,0.0,0.0
2002-08-29,170.0,170.0,165.0,165.0500030517578,157.84127807617188,100,0.0,0.0
2002-08-30,165.0,172.5,165.0,172.1999969482422,164.67898559570312,400,0.0,0.0
2002-09-02,172.5,177.75,172.3000030517578,175.5,167.83485412597656,300,0.0,0.0
2002-09-03,175.0,175.0,171.0,175.0,167.35670471191406,200,0.0,0.0
2002-09-04,167.60000610351562,177.75,167.60000610351562,173.5,165.9221954345703,500,0.0,0.0
2002-09-05,172.5,177.0,172.5,176.0,168.31301879882812,1100,0.0,0.0
2002-09-06,175.25,175.5,173.0,173.0,165.4440460205078,100,0.0,0.0
2002-09-09,170.0,172.5,170.0,172.1999969482422,164.67898559570312,1200,0.0,0.0
2002-09-10,172.1999969482422,172.1999969482422,172.1999969482422,172.1999969482422,164.67898559570312,0,0.0,0.0
2002-09-11,171.0,172.0,167.39999389648438,169.60000610351562,162.19256591796875,2100,0.0,0.0
2002-09-12,168.0,170.0,167.5,168.60000610351562,161.2362060546875,200,0.0,0.0
2002-09-13,169.0,171.6999969482422,168.0,168.8000030517578,161.427490234375,400,0.0,0.0
