date,open,high,low,close,adj close,volume,dividends,stock splits,"('date', '')","('adj close', 'mmtc')","('close', 'mmtc')","('high', 'mmtc')","('low', 'mmtc')","('open', 'mmtc')","('volume', 'mmtc')","('date', '')","('adj close', 'mmtc')","('close', 'mmtc')","('high', 'mmtc')","('low', 'mmtc')","('open', 'mmtc')","('volume', 'mmtc')"
2010-01-08 00:00:00+05:30,1193.3333740234375,1213.3333740234375,1133.3333740234375,1175.933349609375,1124.1407470703125,810.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-11 00:00:00+05:30,1210.0,1210.0,1166.6666259765625,1175.050048828125,1123.296142578125,990.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-12 00:00:00+05:30,1196.6666259765625,1196.6666259765625,1151.6666259765625,1156.98828125,1106.030029296875,510.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-13 00:00:00+05:30,1150.0,1180.0,1150.0,1161.5916748046875,1110.4307861328125,1800.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-14 00:00:00+05:30,1183.300048828125,1185.0,1163.3333740234375,1167.7432861328125,1116.31103515625,1470.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-15 00:00:00+05:30,1183.3333740234375,1310.0,1163.0,1224.6650390625,1170.72607421875,78540.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-18 00:00:00+05:30,1221.6666259765625,1281.63330078125,1199.800048828125,1248.5833740234375,1193.5909423828125,80880.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-19 00:00:00+05:30,1263.3333740234375,1283.3333740234375,1223.300048828125,1229.905029296875,1175.7352294921875,39210.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-20 00:00:00+05:30,1249.9649658203125,1250.0,1211.10498046875,1214.808349609375,1161.30322265625,13380.0,0.0,0.0,,,,,,,,,,,,,,
2010-01-21 00:00:00+05:30,1200.0050048828125,1211.63330078125,1158.3333740234375,1162.66162109375,1111.4532470703125,12270.0,0.0,0.0,,,,,,,,,,,,,,
