date,open,high,low,close,adj_close,volume,dividends,stock_splits
1996-01-01,1.812932014465332,1.80479896068573,1.8032499551773071,1.8032499551773071,1.3970907926559448,38730,0.0,0.0
1996-01-02,1.8009259700775146,1.8009259700775146,1.743219017982483,1.743219017982483,1.350581407546997,77460,0.0,0.0
1996-01-03,1.743219017982483,1.7505780458450315,1.7505780458450315,1.7505780458450315,1.3562825918197632,12910,0.0,0.0
1996-01-04,1.7467050552368164,1.7583240270614624,1.7428319454193115,1.7428319454193115,1.3502815961837769,64550,0.0,0.0
1996-01-05,1.7385720014572144,1.7385720014572144,1.7385720014572144,1.7385720014572144,1.3469808101654053,12910,0.0,0.0
1996-01-08,1.7273399829864502,1.7350859642028809,1.6653729677200315,1.6653729677200315,1.2902690172195437,167830,0.0,0.0
1996-01-09,1.6266429424285889,1.6494929790496826,1.6169610023498535,1.6169610023498535,1.252761721611023,309840,0.0,0.0
1996-01-10,1.6169610023498535,1.7041020393371582,1.6111509799957275,1.7037149667739868,1.3199752569198608,490580,0.0,0.0
1996-01-11,1.6731189489364624,1.6731189489364624,1.6731189489364624,1.6731189489364624,1.2962708473205566,38730,0.0,0.0
1996-01-12,1.6653729677200315,1.7037149667739868,1.6653729677200315,1.6963560581207275,1.3142735958099363,77460,0.0,0.0
1996-01-15,1.6731189489364624,1.6731189489364624,1.666146993637085,1.666146993637085,1.2908689975738523,116190,0.0,0.0
1996-01-16,1.6731189489364624,1.7041020393371582,1.6421350240707395,1.688609957695007,1.3082722425460815,1665392,0.0,0.0
1996-01-17,1.688609957695007,1.684736967086792,1.549183964729309,1.6653729677200315,1.2902690172195437,387300,0.0,0.0
1996-01-18,1.6653729677200315,1.6653729677200315,1.634389042854309,1.6537539958953855,1.281267523765564,129100,0.0,0.0
1996-01-19,1.634389042854309,1.6479439735412598,1.6188969612121582,1.6200590133666992,1.2551615238189695,219470,0.0,0.0
1996-01-22,1.6200590133666992,1.6266429424285889,1.5879130363464355,1.6266429424285889,1.2602628469467163,116190,0.0,0.0
1996-01-23,1.6266429424285889,1.6266429424285889,1.5569299459457395,1.6188969612121582,1.2542613744735718,167830,0.0,0.0
1996-01-24,1.6188969612121582,1.6150239706039429,1.5809420347213743,1.5979830026626587,1.2380578517913818,296930,0.0,0.0
1996-01-25,1.5979830026626587,1.6111509799957275,1.5724220275878906,1.6041799783706665,1.2428592443466189,232380,0.0,0.0
