date,open,high,low,close,adj_close,volume,dividends,stock_splits
2016-08-31,274.20001220703125,305.5,274.20001220703125,299.3999938964844,288.482421875,79264509,0.0,0.0
2016-09-01,302.5,316.5,302.0,305.1499938964844,294.0227355957031,14699482,0.0,0.0
2016-09-02,306.5,309.0,298.54998779296875,301.25,290.2649230957031,4762383,0.0,0.0
2016-09-06,303.0,310.25,300.6000061035156,307.75,296.5279846191406,5777669,0.0,0.0
2016-09-07,308.8500061035156,312.79998779296875,302.3999938964844,304.0,292.9146728515625,4147204,0.0,0.0
2016-09-08,306.5,308.0,303.6499938964844,305.5,294.3599853515625,1509509,0.0,0.0
2016-09-09,303.6499938964844,303.6499938964844,298.1000061035156,298.79998779296875,287.904296875,1570381,0.0,0.0
2016-09-12,290.8999938964844,299.75,287.6000061035156,296.95001220703125,286.12176513671875,1779353,0.0,0.0
2016-09-14,299.1000061035156,303.29998779296875,296.0,296.95001220703125,286.12176513671875,1148592,0.0,0.0
2016-09-15,298.0,302.75,295.0,299.3500061035156,288.43426513671875,1288230,0.0,0.0
2016-09-16,300.6000061035156,304.5,299.45001220703125,301.79998779296875,290.794921875,1559076,0.0,0.0
2016-09-19,303.0,303.8999938964844,299.25,301.3500061035156,290.3613586425781,732837,0.0,0.0
2016-09-20,301.3500061035156,301.5,296.29998779296875,297.1499938964844,286.3144836425781,493343,0.0,0.0
2016-09-21,298.0,301.8999938964844,297.3500061035156,300.0,289.060546875,512999,0.0,0.0
2016-09-22,302.25,304.0,300.70001220703125,302.1499938964844,291.1321716308594,1107243,0.0,0.0
2016-09-23,303.0,307.95001220703125,301.3999938964844,303.29998779296875,292.2402038574219,1735881,0.0,0.0
2016-09-26,303.0,303.0,299.0,302.20001220703125,291.18035888671875,573498,0.0,0.0
2016-09-27,303.0,303.5,298.0,298.8999938964844,288.00067138671875,399580,0.0,0.0
2016-09-28,300.5,304.45001220703125,295.54998779296875,297.54998779296875,286.6999206542969,800367,0.0,0.0
2016-09-29,298.8999938964844,302.5,281.54998779296875,285.8999938964844,275.4747314453125,1238800,0.0,0.0
2016-09-30,287.0,293.79998779296875,286.04998779296875,291.20001220703125,280.5815124511719,678758,0.0,0.0
2016-10-03,298.5,299.8999938964844,295.20001220703125,297.6000061035156,286.7480773925781,770999,0.0,0.0
2016-10-04,299.1000061035156,299.95001220703125,296.5,297.54998779296875,286.6999206542969,638685,0.0,0.0
2016-10-05,299.79998779296875,299.8999938964844,295.0,295.6499938964844,284.869140625,629557,0.0,0.0
2016-10-06,299.0,307.5,296.0,304.29998779296875,293.2037353515625,2018179,0.0,0.0
2016-10-07,305.0,315.45001220703125,305.0,309.25,297.9732666015625,2853699,0.0,0.0
2016-10-10,311.8999938964844,314.8999938964844,308.6499938964844,313.1000061035156,301.682861328125,870931,0.0,0.0
2016-10-13,310.0,311.3999938964844,303.79998779296875,306.25,295.0826416015625,634699,0.0,0.0
