date,open,high,low,close,volume
2007-09-21,6898.0,7506.35009765625,6843.0,7464.5,0
2007-09-28,7514.39990234375,8082.85009765625,7490.2001953125,8042.2001953125,0
2007-10-05,8008.5498046875,8235.7998046875,7789.7001953125,7845.25,0
2007-10-12,7853.14990234375,8177.75,7516.4501953125,7934.0,0
2007-10-19,7962.5498046875,8491.650390625,7279.2998046875,7423.7998046875,0
2007-10-26,7374.35009765625,8804.900390625,7289.2001953125,8749.900390625,0
2007-11-02,8918.0498046875,9610.7001953125,8832.5,9560.7001953125,0
2007-11-09,9549.7998046875,9692.5,8816.9501953125,8876.25,0
2007-11-16,8596.150390625,9651.849609375,8429.349609375,9474.150390625,0
2007-11-23,9541.099609375,9595.4501953125,8650.0,8977.900390625,0
2007-11-30,9136.0498046875,9437.9501953125,8938.099609375,9375.75,0
2007-12-07,9391.2001953125,9804.5498046875,9341.0498046875,9796.099609375,0
2007-12-14,9800.2001953125,10124.75,9723.599609375,9803.150390625,0
2007-12-21,9790.5498046875,9792.150390625,9125.4501953125,9245.4501953125,0
2007-12-28,9316.4501953125,9842.650390625,9316.4501953125,9828.349609375,0
2008-01-04,9861.7001953125,10333.2998046875,9790.400390625,10233.2001953125,0
2008-01-11,9983.099609375,10634.2001953125,9948.349609375,10561.5498046875,0
2008-01-18,10614.849609375,10774.150390625,9648.4501953125,9739.900390625,0
2008-01-25,9671.400390625,9827.2998046875,7958.9501953125,9752.25,0
2008-02-01,9748.349609375,10113.349609375,9002.2001953125,9327.0498046875,0
2008-02-08,9444.400390625,9708.599609375,8624.75,8817.0,0
2008-02-15,8841.2001953125,9403.7001953125,8216.900390625,9380.0498046875,0
2008-02-22,9411.25,9538.7001953125,8642.0,8685.099609375,0
2008-02-29,8715.7998046875,8903.4501953125,8248.75,8688.349609375,0
2008-03-07,8460.599609375,8460.599609375,7064.5,7268.14990234375,0
2008-03-14,7163.5,7705.64990234375,6840.64990234375,7106.0,0
2008-03-21,6956.0,6956.0,6335.0,6456.5498046875,0
2008-03-28,6461.64990234375,7230.7998046875,6456.7998046875,7037.85009765625,0
2008-04-04,6970.5498046875,6970.5498046875,6446.7001953125,6545.14990234375,0
2008-04-11,6485.39990234375,7094.85009765625,6485.39990234375,6838.4501953125,0
2008-04-18,6773.2998046875,7213.7998046875,6687.89990234375,7165.0498046875,0
2008-04-25,7174.4501953125,7651.39990234375,7117.64990234375,7616.2998046875,0
2008-05-02,7643.35009765625,7900.85009765625,7567.85009765625,7871.89990234375,0
2008-05-09,7879.64990234375,7990.4501953125,7267.89990234375,7299.0,0
2008-05-16,7274.7001953125,7666.89990234375,7140.10009765625,7644.60009765625,0
2008-05-23,7616.85009765625,7616.85009765625,6994.89990234375,7009.0498046875,0
2008-05-30,6899.89990234375,6925.39990234375,6502.4501953125,6584.35009765625,0
2008-06-06,6577.2998046875,6677.14990234375,5974.10009765625,6140.0498046875,0
2008-06-13,5960.89990234375,6092.2998046875,5702.5,5993.14990234375,0
2008-06-20,6030.60009765625,6455.2001953125,5731.25,5758.60009765625,0
2008-06-27,5686.5498046875,5737.0498046875,5183.2001953125,5210.89990234375,0
2008-07-04,5214.10009765625,5214.10009765625,4633.9501953125,4990.89990234375,0
2008-07-11,5009.10009765625,5404.64990234375,4843.60009765625,5240.7001953125,0
2008-07-18,5179.9501953125,5418.39990234375,4676.4501953125,5389.14990234375,0
2008-07-25,5448.2001953125,6468.39990234375,5406.2998046875,5917.25,0
2008-08-01,5900.2998046875,5989.4501953125,5394.9501953125,5961.89990234375,0
2008-08-08,5932.4501953125,6725.7001953125,5888.85009765625,6447.5,0
2008-08-15,6574.5,6754.4501953125,6010.0498046875,6030.0498046875,0
2008-08-22,5999.14990234375,6114.14990234375,5649.89990234375,5776.0498046875,0
2008-08-29,5897.2001953125,6112.25,5686.60009765625,6102.0498046875,0
2008-09-05,6070.89990234375,6624.0,5941.4501953125,6288.60009765625,0
2008-09-12,6608.0,6631.9501953125,6168.7998046875,6194.14990234375,0
2008-09-19,6006.7001953125,6357.2001953125,5551.7001953125,6312.0498046875,0
2008-09-26,6396.2001953125,6396.2001953125,5797.5,5828.60009765625,0
2008-10-03,5863.0498046875,6040.14990234375,5296.60009765625,5793.35009765625,0
2008-10-10,5702.85009765625,5798.89990234375,4662.2001953125,4938.0,0
2008-10-17,5034.64990234375,5799.0,5034.64990234375,5183.5498046875,0
2008-10-24,5237.60009765625,5478.39990234375,4229.64990234375,4310.0498046875,0
2008-10-31,4280.5498046875,4621.64990234375,3799.35009765625,4521.7001953125,0
2008-11-07,4791.7998046875,5431.89990234375,4779.60009765625,5043.5498046875,0
2008-11-14,5097.85009765625,5274.85009765625,4668.0498046875,4719.39990234375,0
2008-11-21,4736.25,4736.25,3972.14990234375,4300.7001953125,0
2008-11-28,4274.2998046875,4355.60009765625,4005.35009765625,4291.14990234375,0
2008-12-05,4317.7998046875,4611.4501953125,3919.0,4357.0,0
2008-12-12,4502.0498046875,4687.5,4407.2001953125,4655.2998046875,0
2008-12-19,4714.9501953125,5226.85009765625,4677.2998046875,5144.14990234375,0
2008-12-26,5119.25,5213.2998046875,4770.2001953125,4789.4501953125,0
2009-01-02,4774.7001953125,5258.64990234375,4684.7998046875,5195.10009765625,0
2009-01-09,5273.4501953125,5448.7998046875,4840.0,4906.7001953125,0
2009-01-16,4862.0,4881.5,4442.7001953125,4581.25,0
2009-01-23,4585.7001953125,4622.0,4049.89990234375,4082.14990234375,0
2009-01-30,4167.64990234375,4487.85009765625,4111.2998046875,4456.5498046875,0
2009-02-06,4403.89990234375,4405.35009765625,4191.10009765625,4334.14990234375,0
2009-02-13,4365.5498046875,4602.14990234375,4365.5498046875,4565.85009765625,0
2009-02-20,4538.60009765625,4551.75,3912.35009765625,3934.39990234375,0
2009-02-27,3923.85009765625,3976.050048828125,3758.39990234375,3892.39990234375,0
2009-03-06,3831.25,3831.25,3338.800048828125,3455.35009765625,0
2009-03-13,3424.35009765625,3646.64990234375,3314.550048828125,3632.75,0
2009-03-20,3651.300048828125,3802.10009765625,3615.60009765625,3691.699951171875,0
2009-03-27,3763.75,4423.64990234375,3743.0,4406.7998046875,0
2009-04-03,4368.0498046875,4489.85009765625,3871.449951171875,4426.0498046875,0
2009-04-10,4501.25,4639.5,4259.64990234375,4584.7998046875,0
2009-04-17,4661.9501953125,5193.2998046875,4661.9501953125,5056.89990234375,0
2009-04-24,5107.0,5201.89990234375,4725.7001953125,5125.35009765625,0
2009-05-01,5042.0,5288.7001953125,4909.39990234375,5130.9501953125,0
2009-05-08,5291.25,5649.39990234375,5291.25,5409.75,0
2009-05-15,5463.60009765625,5719.4501953125,5313.14990234375,5695.0498046875,0
2009-05-22,6304.25,7567.89990234375,6304.25,7036.2998046875,0
2009-05-29,7033.7001953125,7496.75,6813.10009765625,7414.35009765625,0
2009-06-05,7559.2998046875,7559.2998046875,7111.9501953125,7348.39990234375,0
2009-06-12,7322.10009765625,7402.0,6909.5,7083.10009765625,0
2009-06-19,7013.5498046875,7339.25,6967.0,7223.5498046875,0
