symbol,start_date,end_date,total_days
HEROMOTOCO,2002-07-01,2025-12-26,5833
HEXT,2025-02-19,2025-12-26,209
HFCL,2002-08-12,2025-12-26,5802
HINDALCO,1996-01-01,2025-12-26,7531
HINDCOPPER,2010-01-08,2025-12-26,3944
HINDPETRO,1996-01-02,2025-12-26,7527
HINDUNILVR,1996-01-01,2025-12-26,7531
HINDZINC,2002-08-12,2025-12-26,5806
HOMEFIRST,2021-02-03,2025-12-26,1212
HONASA,2023-11-07,2025-12-26,528
HONAUT,2002-07-01,2025-12-26,5836
HSCL,2007-03-02,2025-12-26,4644
HUDCO,2017-05-19,2025-12-26,2129
HYUNDAI,2024-10-22,2025-12-26,295
ICICIBANK,2002-07-01,2025-12-26,5833
ICICIGI,2017-09-27,2025-12-26,2039
ICICIPRULI,2016-09-29,2025-12-26,2285
IDBI,1996-01-01,2025-12-26,7531
IDEA,2007-03-09,2025-12-26,4639
IDFCFIRSTB,2015-11-06,2025-12-26,2504
IEX,2017-10-23,2025-12-26,2023
IFCI,2002-07-01,2025-12-26,5833
IGIL,2024-12-20,2025-12-26,252
IGL,2003-12-26,2025-12-26,5445
IIFL,2005-05-17,2025-12-26,5089
IKS,2024-12-19,2025-12-26,254
INDGN,2024-05-13,2025-12-26,406
INDHOTEL,2002-07-01,2025-12-26,5836
INDIACEM,1996-01-02,2025-12-26,7526
INDIAMART,2019-07-04,2025-12-26,1605
INDIANB,2007-03-01,2025-12-26,4645
INDIGO,2015-11-10,2025-12-26,2502
INDUSINDBK,2002-07-01,2025-12-26,5834
INDUSTOWER,2012-12-28,2025-12-26,3208
INFY,1996-01-01,2025-12-26,7531
INOXINDIA,2023-12-21,2025-12-26,499
INOXWIND,2015-04-09,2025-12-26,2649
INTELLECT,2014-12-18,2025-12-26,2723
IOB,2002-07-01,2025-12-26,5833
IOC,1996-04-15,2025-12-26,7453
IPCALAB,1996-01-01,2025-12-26,7528
IRB,2008-02-25,2025-12-26,4397
IRCON,2018-09-28,2025-12-26,1790
IRCTC,2019-10-14,2025-12-26,1539
IREDA,2023-11-29,2025-12-26,515
IRFC,2021-01-29,2025-12-26,1215
ITC,1996-01-01,2025-12-26,7528
ITCHOTELS,2025-01-29,2025-12-26,225
ITI,2002-07-01,2025-12-26,5833
J&KBANK,2002-08-12,2025-12-26,5802
JBCHEPHARM,2002-07-01,2025-12-26,5833
JBMA,2004-12-17,2025-12-26,5192
JINDALSAW,2002-07-01,2025-12-26,5833
JINDALSTEL,1999-09-22,2025-12-26,6559
JIOFIN,2023-08-21,2025-12-26,577
JKCEMENT,2006-03-14,2025-12-26,4882
JKTYRE,2004-06-14,2025-12-26,5326
JMFINANCIL,2006-10-10,2025-12-26,4740
JPPOWER,2005-04-18,2025-12-26,5110
JSL,2003-11-17,2025-12-26,5474
JSWENERGY,2010-01-04,2025-12-26,3947
JSWINFRA,2023-10-03,2025-12-26,548
JSWSTEEL,2003-05-08,2025-12-26,5613
JUBLFOOD,2010-02-08,2025-12-26,3923
JUBLINGREA,2021-03-19,2025-12-26,1181
JUBLPHARMA,2002-07-01,2025-12-26,5836
JWL,2010-10-18,2025-12-26,3749
JYOTHYLAB,2007-12-19,2025-12-26,4443
JYOTICNC,2024-01-16,2025-12-26,482
KAJARIACER,2002-07-01,2025-12-26,5832
KALYANKJIL,2021-03-26,2025-12-26,1176
KARURVYSYA,1996-01-01,2025-12-26,7528
KAYNES,2022-11-22,2025-12-26,767
KEC,2002-08-12,2025-12-26,5802
KEI,2006-03-23,2025-12-26,4877
KFINTECH,2022-12-29,2025-12-26,740
KIMS,2021-06-28,2025-12-26,1114
KIRLOSBROS,2006-04-07,2025-12-26,4867
KIRLOSENG,2002-08-12,2025-12-26,5803
KOTAKBANK,2001-07-02,2025-12-26,6095
KPIL,2023-05-30,2025-12-26,622
KPITTECH,2019-04-22,2025-12-26,1655
KPRMILL,2007-08-28,2025-12-26,4522
KSB,2002-07-01,2025-12-26,5833
LALPATHLAB,2015-12-23,2025-12-26,2474
LATENTVIEW,2021-11-23,2025-12-26,1015
LAURUSLABS,2016-12-19,2025-12-26,2232
LEMONTREE,2018-04-09,2025-12-26,1909
LICHSGFIN,2002-07-01,2025-12-26,5833
LICI,2022-05-17,2025-12-26,896
LINDEINDIA,2000-05-31,2025-12-26,6380
LLOYDSME,2023-07-17,2025-12-26,606
LODHA,2021-04-19,2025-12-26,1163
LT,2002-07-01,2025-12-26,5836
LTF,2011-08-12,2025-12-26,3543
LTFOODS,2023-10-30,2025-12-26,530
LTIM,2016-07-21,2025-12-26,2332
LTTS,2016-09-23,2025-12-26,2289
LUPIN,2001-09-10,2025-12-26,6044
M&M,1996-01-01,2025-12-26,7529
M&MFIN,2006-03-17,2025-12-26,4881
MAHABANK,2004-04-12,2025-12-26,5369
MAHSCOOTER,2002-07-01,2025-12-26,5832
MAHSEAMLES,2002-07-01,2025-12-26,5836
MANAPPURAM,2010-06-30,2025-12-26,3826
MANKIND,2023-05-09,2025-12-26,654
MANYAVAR,2022-02-16,2025-12-26,955
MAPMYINDIA,2021-12-21,2025-12-26,995
MARICO,1996-05-01,2025-12-26,7444
MARUTI,2003-07-09,2025-12-26,5569
MAXHEALTH,2020-08-21,2025-12-26,1326
MAZDOCK,2020-10-12,2025-12-26,1291
MCX,2012-03-09,2025-12-26,3405
MEDANTA,2022-11-18,2025-12-26,768
METROPOLIS,2019-04-15,2025-12-26,1657
MFSL,1996-01-01,2025-12-26,7528
